FID_,LEFT_FID,RIGHT_FID,ORIG_FID,X,Y
,25,24,0,271280,3299558
,25,24,0,270919,3288653
,25,24,0,278112,3288418
,25,24,0,278423,3283199
,25,24,0,278120,3281777
,25,24,0,300377,3279444
,25,24,0,299205,3262725
,25,24,0,285981,3263451
,25,24,0,279943,3205954
,-1,24,1,279943,3205954
,-1,24,1,279504,3204122
,-1,24,1,279739,3200498
,-1,24,1,280562,3199187
,-1,24,1,281393,3198883
,-1,24,1,282384,3199060
,-1,24,1,282481,3197962
,-1,24,1,282875,3197177
,-1,24,1,285060,3196186
,-1,24,1,285930,3195472
,-1,24,1,285606,3194631
,-1,24,1,285172,3193904
,-1,24,1,284564,3193935
,-1,24,1,282925,3194287
,-1,24,1,282520,3194345
,-1,24,1,280311,3192130
,-1,24,1,279206,3192145
,-1,24,1,273827,3191636
,-1,24,1,271515,3172142
,-1,24,1,275626,3172204
,-1,24,1,276142,3172075
,-1,24,1,275802,3170330
,-1,24,1,274779,3161822
,-1,24,1,274574,3159685
,-1,24,1,274351,3158853
,-1,24,1,276778,3158678
,-1,24,1,276698,3158069
,-1,24,1,276176,3154311
,-1,24,1,276145,3152511
,-1,24,1,275825,3149462
,-1,24,1,275041,3141655
,-1,24,1,272076,3142372
,-1,24,1,271413,3141721
,-1,24,1,270953,3141274
,-1,24,1,270606,3141081
,-1,24,1,270381,3140953
,-1,24,1,269632,3140373
,-1,24,1,263025,3141146
,-1,24,1,257952,3141669
,-1,24,1,258648,3142856
,-1,24,1,257667,3144763
,-1,24,1,258055,3146007
,-1,24,1,258158,3146985
,-1,24,1,258321,3148570
,-1,24,1,258798,3149910
,-1,24,1,258935,3151705
,-1,24,1,259885,3161037
,-1,24,1,246730,3162026
,-1,24,1,247245,3168400
,-1,24,1,239089,3168650
,-1,24,1,239246,3170167
,-1,24,1,239118,3170460
,-1,24,1,238527,3170388
,-1,24,1,237483,3170811
,-1,24,1,235450,3172130
,-1,24,1,233473,3170720
,-1,24,1,233235,3170013
,-1,24,1,232913,3169178
,-1,24,1,232530,3168942
,-1,24,1,228806,3168807
,-1,24,1,231272,3189094
,-1,24,1,224175,3189855
,-1,24,1,207132,3191701
,-1,24,1,200539,3192201
,-1,24,1,198845,3192543
,-1,24,1,198509,3192614
,-1,24,1,198409,3193713
,-1,24,1,198139,3195572
,-1,24,1,196378,3211597
,-1,24,1,196266,3214793
,-1,24,1,195871,3215976
,-1,24,1,195457,3224645
,-1,24,1,195626,3224833
,-1,24,1,195376,3226237
,-1,24,1,195331,3226558
,-1,24,1,195099,3227438
,-1,24,1,194484,3227550
,-1,24,1,193110,3242071
,-1,24,1,193188,3243202
